id	name	description	rating	country	city	idAsUUID
0	北京饭店诺金-王府井	位于东长安街33号, 毗邻王府井与天安门。酒店名称、地址与历史展示价参考中国假日旅游网和携程酒店页面, 页面价格仅作为演示数据库的历史快照。	4.8	中国	北京	29a622ed-9f9d-85ca-af69-fbe59c03ac22
1	上海和平饭店	位于南京东路20号, 坐落于外滩与南京路交汇处。酒店名称、地址与历史展示价参考携程和 KAYAK 酒店页面, 页面价格仅作为演示数据库的历史快照。	4.8	中国	上海	1f02430d-f169-00d6-e2e2-218b1f5f9f21
2	天津云栖精选酒店	位于天津热门商旅与度假片区, 主打海河风情与近代建筑。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.7	中国	天津	4e54c11f-39b0-4d72-95b7-fe397f75e534
3	重庆解放碑威斯汀酒店	位于渝中区新华路222号, 步行可达解放碑与洪崖洞。酒店名称、地址与历史展示价参考携程和 Trip.com 酒店页面, 页面价格仅作为演示数据库的历史快照。	4.7	中国	重庆	47854c61-672f-b4f4-4a8e-dfb06d4155a4
4	石家庄星程文旅酒店	位于石家庄热门商旅与度假片区, 主打燕赵文化与周边山水。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.8	中国	石家庄	a3beb74f-bb5d-dc6c-9159-07b4b04c3dff
5	太原中旅臻选酒店	位于太原热门商旅与度假片区, 主打晋祠古建与汾河风光。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	太原	5e30126e-3114-0b64-82b7-73dbb9f060cb
6	呼和浩特悦行度假酒店	位于呼和浩特热门商旅与度假片区, 主打草原门户与蒙元文化。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.9	中国	呼和浩特	864f333a-68cb-1872-2a3b-c0c6110b70d0
7	沈阳云栖精选酒店	位于沈阳热门商旅与度假片区, 主打故宫历史与东北风味。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	沈阳	e9ddd524-5c0c-1dbb-56e8-133b75d553bb
8	长春山海城市酒店	位于长春热门商旅与度假片区, 主打电影文化与净月潭。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	长春	b50a4e1d-fbb1-eac0-acb6-3a9e2db0fdb7
9	哈尔滨星程文旅酒店	位于哈尔滨热门商旅与度假片区, 主打冰雪城市与欧式街区。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	哈尔滨	16a3b6dd-0754-7f42-c9c3-f89099296bf0
10	南京金陵饭店	位于鼓楼区汉中路2号, 靠近新街口商圈。酒店名称、地址与历史展示价参考中国假日旅游网和 Klook 酒店页面, 页面价格仅作为演示数据库的历史快照。	4.8	中国	南京	749e41b6-831c-7d61-d6e8-39f8b2e91b84
11	杭州西子湖四季酒店	位于西湖区灵隐路5号, 靠近杨公堤和西湖景区。酒店名称、地址与历史展示价参考中国假日旅游网和四季酒店资料, 页面价格仅作为演示数据库的历史快照。	4.9	中国	杭州	2382bd31-a401-de32-5309-20f17f2b8bca
