id	name	description	cityId
0	柏曼精品酒店	地址：北京朝阳街155号（北京北）。联系电话：047-31633709 / 024-62762345。部分房型可俯瞰城市天际线。可手机自助入住，无接触开门。设有地下停车场与充电桩。酒店内有健身房和洗衣房，住客免费使用。	C039
1	星程宾馆	地址：北京迎宾大道217号（北京北）。联系电话：198-78066676。可手机自助入住，无接触开门。设有地下停车场与充电桩。	C039
2	花筑酒店	地址：北京解放路375号（北京北）。联系电话：188-40738117 / 185-93274702。提供高速 Wi‑Fi 及 24 小时热水。设有地下停车场与充电桩。距车站步行 5 分钟，交通便利。前台多语言服务，支持行李寄存。	C039
3	云栖宾馆	地址：北京迎宾大道60号（北京北）。联系电话：023-62801405 / 197-48539983。周边 500 米内即是商场与美食街。含自助早餐，菜品丰富。	C039
4	柏曼酒店	地址：北京迎宾大道257号（北京东）。联系电话：130-51651010。前台多语言服务，支持行李寄存。提供高速 Wi‑Fi 及 24 小时热水。周边 500 米内即是商场与美食街。含自助早餐，菜品丰富。	C039
5	桔子度假酒店	地址：北京建设路3号（北京东）。联系电话：130-40915262。含自助早餐，菜品丰富。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。	C039
6	悦榕大酒店	地址：北京迎宾大道327号（北京）。联系电话：180-12759987。周边 500 米内即是商场与美食街。酒店内有健身房和洗衣房，住客免费使用。	C039
7	悦榕酒店	地址：北京迎宾大道395号（北京）。联系电话：043-71805698 / 198-11781862。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。	C039
8	丽枫宾馆	地址：北京建设路367号（北京南）。联系电话：017-82793526 / 032-71224215。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。客房配备记忆棉床垫，保证舒适睡眠。	C039
9	枫叶国际酒店	地址：北京迎宾大道313号（北京南）。联系电话：194-11813367 / 183-35551545。周边 500 米内即是商场与美食街。可手机自助入住，无接触开门。部分房型可俯瞰城市天际线。	C039
10	桔子精品酒店	地址：北京人民大道183号（北京西）。联系电话：198-63788859。前台多语言服务，支持行李寄存。周边 500 米内即是商场与美食街。	C039
